Order Date,Row ID,Order ID,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Product Name,Category,Sub-Category,Sales,Quantity,Discount,Profit
01/01/2020,849,CA-2017-107503,Standard Class,GA-14725,Consumer,United States,Lorain,Ohio,44052,East,FUR-FU-10003878,"Linden 10"" Round Wall Clock, Black",Furniture,Furnishings,48.90,4,0.2,8.56
01/01/2020,4010,CA-2017-144463,Standard Class,SC-20725,Consumer,United States,Los Angeles,California,90036,West,FUR-FU-10001215,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",Furniture,Furnishings,474.43,11,0,199.26
01/01/2020,6683,CA-2017-154466,First Class,DP-13390,Home Office,United States,Franklin,Wisconsin,53132,Central,OFF-BI-10002012,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,Binders,3.60,2,0,1.73
01/01/2020,8070,CA-2017-151750,Standard Class,JM-15250,Consumer,United States,Huntsville,Texas,77340,Central,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Office Supplies,Storage,454.56,5,0.2,-107.96
01/01/2020,8071,CA-2017-151750,Standard Class,JM-15250,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10002116,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Furniture,Furnishings,141.42,5,0.6,-187.38
01/01/2020,8072,CA-2017-151750,Standard Class,JM-15250,Consumer,United States,Huntsville,Texas,77340,Central,FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair,Furniture,Chairs,310.74,4,0.3,-26.64
01/01/2020,8073,CA-2017-151750,Standard Class,JM-15250,Consumer,United States,Huntsville,Texas,77340,Central,OFF-AR-10003158,Fluorescent Highlighters by Dixon,Office Supplies,Art,12.74,4,0.2,2.23
01/01/2020,8074,CA-2017-151750,Standard Class,JM-15250,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10000301,GBC Instant Report Kit,Office Supplies,Binders,6.47,5,0.8,-9.71
01/01/2020,8075,CA-2017-151750,Standard Class,JM-15250,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,13.75,14,0.8,-22.68
01/01/2020,8076,CA-2017-151750,Standard Class,JM-15250,Consumer,United States,Huntsville,Texas,77340,Central,OFF-AP-10004708,Fellowes Superior 10 Outlet Split Surge Protector,Office Supplies,Appliances,15.22,2,0.8,-38.82
02/01/2020,1341,CA-2017-113481,First Class,AS-10045,Corporate,United States,Jacksonville,North Carolina,28540,South,TEC-MA-10002178,Cisco CP-7937G Unified IP Conference Station Phone,Technology,Machines,695.70,2,0.5,-27.83
02/01/2020,1342,CA-2017-113481,First Class,AS-10045,Corporate,United States,Jacksonville,North Carolina,28540,South,OFF-BI-10003694,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Office Supplies,Binders,15.66,5,0.7,-12.53
02/01/2020,1343,CA-2017-113481,First Class,AS-10045,Corporate,United States,Jacksonville,North Carolina,28540,South,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,28.85,6,0.7,-21.16
02/01/2020,8361,CA-2017-147207,Second Class,TS-21655,Consumer,United States,El Paso,Texas,79907,Central,OFF-AR-10001955,Newell 319,Office Supplies,Art,31.74,2,0.2,3.97
02/01/2020,8362,CA-2017-147207,Second Class,TS-21655,Consumer,United States,El Paso,Texas,79907,Central,OFF-AP-10000027,Hoover Commercial SteamVac,Office Supplies,Appliances,5.43,2,0.8,-13.58
02/01/2020,8363,CA-2017-147207,Second Class,TS-21655,Consumer,United States,El Paso,Texas,79907,Central,FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",Furniture,Tables,913.43,5,0.3,-169.64
02/01/2020,8364,CA-2017-147207,Second Class,TS-21655,Consumer,United States,El Paso,Texas,79907,Central,OFF-ST-10002615,"Dual Level, Single-Width Filing Carts",Office Supplies,Storage,372.14,3,0.2,27.91
02/01/2020,9686,CA-2017-118668,Second Class,FW-14395,Corporate,United States,Los Angeles,California,90032,West,TEC-AC-10000682,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,Technology,Accessories,16.59,1,0,5.81
03/01/2020,5258,US-2017-114034,Standard Class,DL-13315,Consumer,United States,Rancho Cucamonga,California,91730,West,OFF-PA-10004735,Xerox 1905,Office Supplies,Paper,38.88,6,0,18.66
03/01/2020,9491,CA-2017-111738,Standard Class,CM-12385,Consumer,United States,San Francisco,California,94110,West,OFF-BI-10004584,GBC ProClick 150 Presentation Binding System,Office Supplies,Binders,2022.27,8,0.2,682.52
03/01/2020,9492,CA-2017-111738,Standard Class,CM-12385,Consumer,United States,San Francisco,California,94110,West,OFF-AR-10000817,Manco Dry-Lighter Erasable Highlighter,Office Supplies,Art,9.12,3,0,3.10
06/01/2020,4937,CA-2017-150931,Standard Class,DP-13390,Home Office,United States,Tuscaloosa,Alabama,35401,South,OFF-BI-10004728,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Office Supplies,Binders,33.74,7,0,15.52
07/01/2020,978,CA-2017-159366,First Class,BW-11110,Corporate,United States,Detroit,Michigan,48205,Central,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,3059.98,2,0.1,680.00
07/01/2020,2121,US-2017-168690,Standard Class,TS-21085,Consumer,United States,Ormond Beach,Florida,32174,South,OFF-BI-10000145,Zipper Ring Binder Pockets,Office Supplies,Binders,2.81,3,0.7,-1.97
07/01/2020,7372,US-2017-123862,Second Class,JF-15190,Consumer,United States,Long Beach,California,90805,West,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,153.78,11,0,44.60
07/01/2020,7373,US-2017-123862,Second Class,JF-15190,Consumer,United States,Long Beach,California,90805,West,OFF-ST-10002301,Tennsco Commercial Shelving,Office Supplies,Storage,61.02,3,0,0.61
